GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
javabean-tester,com.codebox.builders,ExtensionBuilder,11,239,0,2,1,48,0,7,0,6
javabean-tester,com.codebox.instance,ConstructorInstance,24,35,1,1,7,9,2,2,1,2
javabean-tester,com.codebox.instance,ClassInstance,24,66,1,5,4,12,1,5,0,3
javabean-tester,com.codebox.bean,ValueBuilder,83,319,16,83,3,73,14,55,5,14
javabean-tester,com.codebox.bean,JavaBeanTesterWorker,483,716,72,46,39,147,52,39,11,21
javabean-tester,com.codebox.bean,JavaBeanTesterBuilder,0,102,1,7,0,30,1,18,0,15
javabean-tester,com.codebox.bean,ValueBuilder.new Object() {...},3,23,0,0,0,1,0,1,0,1
javabean-tester,com.codebox.bean,JavaBeanTester,14,16,0,0,0,3,3,3,3,3
javabean-tester,com.codebox.enums,SkipStrictSerialize,9,29,0,0,0,3,2,2,2,2
javabean-tester,com.codebox.enums,CanSerialize,9,29,0,0,0,3,2,2,2,2
javabean-tester,com.codebox.enums,LoadData,9,29,0,0,0,3,2,2,2,2
javabean-tester,com.codebox.enums,LoadType,5,43,0,0,0,4,1,3,1,3
javabean-tester,com.codebox.enums,CanEquals,9,29,0,0,0,3,2,2,2,2
